exponent,naive,stable,reference
-300 , 0.00000000000000000e+00 , 1.41421356237309519e-300 , 1.41421356237309519e-300
-290 , 0.00000000000000000e+00 , 1.41421356237309511e-290 , 1.41421356237309511e-290
-280 , 0.00000000000000000e+00 , 1.41421356237309514e-280 , 1.41421356237309514e-280
-270 , 0.00000000000000000e+00 , 1.41421356237309523e-270 , 1.41421356237309523e-270
-260 , 0.00000000000000000e+00 , 1.41421356237309501e-260 , 1.41421356237309501e-260
-250 , 0.00000000000000000e+00 , 1.41421356237309526e-250 , 1.41421356237309526e-250
-240 , 0.00000000000000000e+00 , 1.41421356237309523e-240 , 1.41421356237309523e-240
-230 , 0.00000000000000000e+00 , 1.41421356237309528e-230 , 1.41421356237309528e-230
-220 , 0.00000000000000000e+00 , 1.41421356237309519e-220 , 1.41421356237309519e-220
-210 , 0.00000000000000000e+00 , 1.41421356237309527e-210 , 1.41421356237309527e-210
-200 , 0.00000000000000000e+00 , 1.41421356237309498e-200 , 1.41421356237309498e-200
-190 , 0.00000000000000000e+00 , 1.41421356237309527e-190 , 1.41421356237309527e-190
-180 , 0.00000000000000000e+00 , 1.41421356237309522e-180 , 1.41421356237309522e-180
-170 , 0.00000000000000000e+00 , 1.41421356237309512e-170 , 1.41421356237309512e-170
-160 , 1.41420569026056671e-160 , 1.41421356237309518e-160 , 1.41421356237309518e-160
-150 , 1.41421356237309520e-150 , 1.41421356237309520e-150 , 1.41421356237309520e-150
-140 , 1.41421356237309502e-140 , 1.41421356237309502e-140 , 1.41421356237309502e-140
-130 , 1.41421356237309520e-130 , 1.41421356237309520e-130 , 1.41421356237309520e-130
-120 , 1.41421356237309510e-120 , 1.41421356237309510e-120 , 1.41421356237309510e-120
-110 , 1.41421356237309515e-110 , 1.41421356237309515e-110 , 1.41421356237309515e-110
-100 , 1.41421356237309501e-100 , 1.41421356237309527e-100 , 1.41421356237309527e-100
-90 , 1.41421356237309498e-90 , 1.41421356237309519e-90 , 1.41421356237309519e-90
-80 , 1.41421356237309506e-80 , 1.41421356237309506e-80 , 1.41421356237309506e-80
-70 , 1.41421356237309502e-70 , 1.41421356237309518e-70 , 1.41421356237309518e-70
-60 , 1.41421356237309506e-60 , 1.41421356237309506e-60 , 1.41421356237309506e-60
-50 , 1.41421356237309503e-50 , 1.41421356237309527e-50 , 1.41421356237309527e-50
-40 , 1.41421356237309493e-40 , 1.41421356237309513e-40 , 1.41421356237309513e-40
-30 , 1.41421356237309506e-30 , 1.41421356237309523e-30 , 1.41421356237309523e-30
-20 , 1.41421356237309501e-20 , 1.41421356237309501e-20 , 1.41421356237309501e-20
-10 , 1.41421356237309505e-10 , 1.41421356237309531e-10 , 1.41421356237309531e-10
0 , 1.41421356237309515e+00 , 1.41421356237309515e+00 , 1.41421356237309515e+00
10 , 1.41421356237309513e+10 , 1.41421356237309513e+10 , 1.41421356237309513e+10
20 , 1.41421356237309510e+20 , 1.41421356237309510e+20 , 1.41421356237309510e+20
30 , 1.41421356237309528e+30 , 1.41421356237309528e+30 , 1.41421356237309528e+30
40 , 1.41421356237309508e+40 , 1.41421356237309508e+40 , 1.41421356237309508e+40
50 , 1.41421356237309523e+50 , 1.41421356237309523e+50 , 1.41421356237309523e+50
60 , 1.41421356237309487e+60 , 1.41421356237309505e+60 , 1.41421356237309505e+60
70 , 1.41421356237309518e+70 , 1.41421356237309518e+70 , 1.41421356237309518e+70
80 , 1.41421356237309508e+80 , 1.41421356237309508e+80 , 1.41421356237309508e+80
90 , 1.41421356237309501e+90 , 1.41421356237309501e+90 , 1.41421356237309501e+90
100 , 1.41421356237309503e+100 , 1.41421356237309522e+100 , 1.41421356237309522e+100
110 , 1.41421356237309513e+110 , 1.41421356237309513e+110 , 1.41421356237309513e+110
120 , 1.41421356237309506e+120 , 1.41421356237309506e+120 , 1.41421356237309506e+120
130 , 1.41421356237309511e+130 , 1.41421356237309511e+130 , 1.41421356237309511e+130
140 , 1.41421356237309508e+140 , 1.41421356237309529e+140 , 1.41421356237309529e+140
150 , 1.41421356237309496e+150 , 1.41421356237309514e+150 , 1.41421356237309514e+150
160 , inf , 1.41421356237309512e+160 , 1.41421356237309512e+160
170 , inf , 1.41421356237309519e+170 , 1.41421356237309519e+170
180 , inf , 1.41421356237309521e+180 , 1.41421356237309521e+180
190 , inf , 1.41421356237309521e+190 , 1.41421356237309521e+190
200 , inf , 1.41421356237309504e+200 , 1.41421356237309504e+200
210 , inf , 1.41421356237309525e+210 , 1.41421356237309525e+210
220 , inf , 1.41421356237309526e+220 , 1.41421356237309526e+220
230 , inf , 1.41421356237309526e+230 , 1.41421356237309526e+230
240 , inf , 1.41421356237309514e+240 , 1.41421356237309514e+240
250 , inf , 1.41421356237309502e+250 , 1.41421356237309502e+250
260 , inf , 1.41421356237309515e+260 , 1.41421356237309515e+260
270 , inf , 1.41421356237309517e+270 , 1.41421356237309517e+270
280 , inf , 1.41421356237309511e+280 , 1.41421356237309511e+280
290 , inf , 1.41421356237309523e+290 , 1.41421356237309523e+290
300 , inf , 1.41421356237309517e+300 , 1.41421356237309517e+300
